"Options.SECTION:[algernon.529Tiles]"	"529 Tiles"
"Options.OPTION:UnlockAll"	"Desbloquear todas as áreas"
"Options.OPTION_DESCRIPTION:UnlockAll"	"Desbloqueia automaticamente e imediatamente todas as áreas do mapa quando inicias uma nova cidade (ou carregas uma existente)."
"Options.OPTION:ExtraTilesAtStart"	"Fornecer áreas extra no início"
"Options.OPTION_DESCRIPTION:ExtraTilesAtStart"	"Adiciona áreas extras como desbloqueios de áreas imediatamente disponíveis quando começas uma nova cidade (todos as etapas adicionarão a sua quantidade usual de desbloqueios de áreas por cima disso)."
"Options.OPTION:ExtraTilesAtEnd"	"Fornecer áreas extra na última etapa"
"Options.OPTION_DESCRIPTION:ExtraTilesAtEnd"	"Adiciona os desbloqueios de áreas extras à última etapa."
"Options.OPTION:AssignToMilestones"	"Atribuir áreas extras às etapas"
"Options.OPTION_DESCRIPTION:AssignToMilestones"	"Distribui os desbloqueios de áreas extras por todas as etapas normais do jogo, em proporção à quantidade normal para cada etapa."
"Options.OPTION:NoStartingTiles"	"Selecionar áreas iniciais"
"Options.OPTION_DESCRIPTION:NoStartingTiles"	"Se esta opção for selecionada, então nenhuma área inicial será desbloqueada automaticamente ao começar um novo jogo. Em vez disso, podes escolher as tuas próprias áreas iniciais (as primeiras nove áreas serão gratuitas para compra)."
"Options.OPTION:UpkeepMultiplier"	"Multiplicador de manutenção das áreas"
"Options.OPTION_DESCRIPTION:UpkeepMultiplier"	"O custo de manutenção padrão das áreas do jogo será multiplicado por esta percentagem. Define para zero para desativar completamente a manutenção das áreas."
"Options.OPTION:ResetModSettings"	"Repor para padrão"
"Options.OPTION_DESCRIPTION:ResetModSettings"	"Redefine todas as configurações do mod 529 Tiles para o padrão."
"Options.WARNING:ResetModSettings"	"Repor todas as definições do 529 Tiles para o padrão? Isso não pode ser desfeito."
"Options.OPTION:RelockAllTiles"	"Rebloquear todas as áreas"
"Options.OPTION_DESCRIPTION:RelockAllTiles"	"Rebloqueia todas as áreas desbloqueadas; podes voltar a comprar imediatamente as áreas até ao limite que ganhaste."
