"Options.SECTION:[algernon.529Tiles]"	"529 Tiles"
"Options.OPTION:UnlockAll"	"Alle Bereiche freischalten"
"Options.OPTION_DESCRIPTION:UnlockAll"	"Alle Spielbereiche auf der Karte werden automatisch und sofort entsperrt, wenn man eine neue Stadt startet (oder eine bestehende neu l"
"Options.OPTION:ExtraTilesAtStart"	"Zus"
"Options.OPTION_DESCRIPTION:ExtraTilesAtStart"	"F"
"Options.OPTION:ExtraTilesAtEnd"	"Zus"
"Options.OPTION_DESCRIPTION:ExtraTilesAtEnd"	"F"
"Options.OPTION:AssignToMilestones"	"Meilensteinen zus"
"Options.OPTION_DESCRIPTION:AssignToMilestones"	"Meilensteinen zus"
"Options.OPTION:NoStartingTiles"	"Spielbereiche beim Spielstart ausw"
"Options.OPTION_DESCRIPTION:NoStartingTiles"	"Wenn diese Option ausgew"
"Options.OPTION:ResetModSettings"	"Auf Standard zur"
"Options.OPTION_DESCRIPTION:ResetModSettings"	"Setzt alle 529 Tiles Mod-Einstellungen auf Standardwerte zur"
"Options.WARNING:ResetModSettings"	"Alle 529 Tiles Einstellungen auf Standard zur"
"Options.OPTION:RelockAllTiles"	"Re-lock all tiles"
"Options.OPTION_DESCRIPTION:RelockAllTiles"	"Sperrt alle freigeschalteten Spielbereiche wieder; du kannst die Bereiche sofort bis zu dem von dir verdienten Limit wieder kaufen."
